MSA,msa.or.nonMSA,theme1,theme2,theme3,theme4,theme5,theme6,theme7,Total_population,n_counties,FIPS,ccvi
"Burlington-South Burlington, VT",msa,0.03023255814,0.1790697674,0.06744186047,0.1697674419,0.01162790698,0.1023255814,0.5069767442,218042,3,15540,0.004651162791
CALIFORNIA (excluding all MSAs),nonMSA,0.6720930233,0.6139534884,0.5395348837,0.5534883721,0.6209302326,0.2813953488,0.05348837209,832683,21,NA,0.4209302326
"California-Lexington Park, MD",msa,0.1069767442,0.3162790698,0.1674418605,0.223255814,0.1325581395,0.1651162791,0.711627907,111531,1,15680,0.06279069767
"Canton-Massillon, OH",msa,0.223255814,0.1162790698,0.288372093,0.8325581395,0.1488372093,0.923255814,0.8441860465,401053,2,15940,0.4325581395
"Cape Coral-Fort Myers, FL",msa,0.8558139535,0.8372093023,0.06976744186,0.9558139535,0.623255814,0.2441860465,0.9511627907,718679,1,15980,0.823255814
"Cape Girardeau, MO-IL",msa,0.4162790698,0.1046511628,0.4372093023,0.5720930233,0.5418604651,0.8441860465,0.2302325581,97137,3,16020,0.3720930233
"Carbondale-Marion, IL",msa,0.3953488372,0.2023255814,0.7186046512,0.3860465116,0.7860465116,0.1674418605,0.2953488372,138452,3,16060,0.3162790698
"Carson City, NV",msa,0.7418604651,0.7953488372,0.9558139535,0.7488372093,0.1651162791,0.8023255814,0.7790697674,54467,1,16180,0.9325581395
"Casper, WY",msa,0.3744186047,0.1744186047,0.5674418605,0.1023255814,0.07674418605,0.8255813953,0.02093023256,80610,1,16220,0.1302325581
"Cedar Rapids, IA",msa,0.004651162791,0.1953488372,0.08372093023,0.3465116279,0.3023255814,0.6441860465,0.4395348837,268315,3,16300,0.1023255814
"Chambersburg-Waynesboro, PA",msa,0.4790697674,0.2255813953,0.1,0.4581395349,0.2930232558,0.6511627907,0.5441860465,153751,1,16540,0.2697674419
"Champaign-Urbana, IL",msa,0.1860465116,0.6209302326,0.411627907,0.1720930233,0.9255813953,0.1046511628,0.4581395349,225875,2,16580,0.3
"Charleston, WV",msa,0.5697674419,0.03023255814,0.7093023256,0.9930232558,0.006976744186,0.04418604651,0.3069767442,267408,5,16620,0.2418604651
"Charleston-North Charleston, SC",msa,0.5023255814,0.6465116279,0.3279069767,0.4465116279,0.3930232558,0.211627907,0.7069767442,759247,3,16700,0.4023255814
"Charlotte-Concord-Gastonia, NC-SC",msa,0.6744186047,0.7627906977,0.2813953488,0.5046511628,0.9534883721,0.3790697674,0.8720930233,2498431,11,16740,0.7906976744
"Charlottesville, VA",msa,0.3139534884,0.5,0.04418604651,0.2953488372,0.7162790698,0.2162790698,0.4209302326,213901,5,16820,0.2
"Chattanooga, TN-GA",msa,0.5674418605,0.2953488372,0.2744186047,0.8069767442,0.5069767442,0.8558139535,0.723255814,552043,6,16860,0.6441860465
"Cheyenne, WY",msa,0.2023255814,0.3046511628,0.2465116279,0.1069767442,0.1,0.3418604651,0.06976744186,97692,1,16940,0.01627906977
"Chicago-Naperville-Elgin, IL-IN-WI",msa,0.6790697674,0.8534883721,0.3744186047,0.2813953488,0.8534883721,0.1581395349,0.988372093,9536428,14,16980,0.7255813953
"Chico, CA",msa,0.7906976744,0.7325581395,0.7465116279,0.1976744186,0.7790697674,0.5558139535,0.3790697674,227075,1,17020,0.7186046512
"Cincinnati, OH-KY-IN",msa,0.2604651163,0.2465116279,0.3627906977,0.6488372093,0.4906976744,0.8302325581,0.9069767442,2191667,16,17140,0.5348837209
"Clarksville, TN-KY",msa,0.4581395349,0.4348837209,0.6209302326,0.6162790698,0.8069767442,0.323255814,0.4488372093,296295,4,17300,0.5186046512
"Cleveland, TN",msa,0.8325581395,0.2627906977,0.6139534884,0.8813953488,0.6441860465,0.8465116279,0.511627907,121339,2,17420,0.8441860465
"Cleveland-Elyria, OH",msa,0.5325581395,0.5279069767,0.4860465116,0.7976744186,0.3674418605,0.9441860465,0.9674418605,2061766,5,17460,0.8534883721
"Coeur d'Alene, ID",msa,0.3162790698,0.04186046512,0.1279069767,0.2325581395,0.09534883721,0.2395348837,0.3418604651,153605,1,17660,0.02093023256
"College Station-Bryan, TX",msa,0.8139534884,0.8651162791,0.4627906977,0.2069767442,0.7813953488,0.3488372093,0.488372093,253946,3,17780,0.611627907
COLORADO (excluding all MSAs),nonMSA,0.4279069767,0.6046511628,0.323255814,0.1837209302,0.4395348837,0.2302325581,0.03023255814,699657,47,NA,0.1441860465
"Colorado Springs, CO",msa,0.2511627907,0.6372093023,0.3837209302,0.03023255814,0.4860465116,0.4093023256,0.6906976744,712266,2,17820,0.3023255814
"Columbia, MO",msa,0.2069767442,0.3255813953,0.1488372093,0.2674418605,0.5953488372,0.6837209302,0.4093023256,204250,3,17860,0.2255813953
"Columbia, SC",msa,0.6348837209,0.6744186047,0.5744186047,0.476744186,0.2697674419,0.2255813953,0.6930232558,816664,6,17900,0.476744186
"Columbus, GA-AL",msa,0.8976744186,0.6837209302,0.8720930233,0.7069767442,0.8395348837,0.5302325581,0.4744186047,320144,7,17980,0.9348837209
"Columbus, IN",msa,0.3627906977,0.4813953488,0.276744186,0.6744186047,0.4325581395,0.5744186047,0.5488372093,81893,1,18020,0.4279069767
"Columbus, OH",msa,0.3255813953,0.4465116279,0.4674418605,0.5302325581,0.5139534884,0.4395348837,0.888372093,2054062,10,18140,0.4930232558
CONNECTICUT (excluding all MSAs),nonMSA,0.06976744186,0.2651162791,0.004651162791,0.6069767442,0.03953488372,0.1534883721,0.5395348837,183031,1,NA,0.04418604651
"Corpus Christi, TX",msa,0.9441860465,0.9093023256,0.9325581395,0.4976744186,0.6860465116,0.5348837209,0.7139534884,427532,2,18580,0.9627906977
"Corvallis, OR",msa,0.4372093023,0.4790697674,0.09302325581,0.0488372093,0.4139534884,0.08372093023,0.3604651163,89780,1,18700,0.07674418605
"Crestview-Fort Walton Beach-Destin, FL",msa,0.5813953488,0.5093023256,0.5558139535,0.6186046512,0.8697674419,0.6534883721,0.376744186,266595,2,18880,0.7069767442
"Cumberland, MD-WV",msa,0.2697674419,0.1093023256,0.6162790698,0.776744186,0.02093023256,0.2372093023,0.3627906977,99255,2,19060,0.1744186047
"Dallas-Fort Worth-Arlington, TX",msa,0.776744186,0.9069767442,0.4069767442,0.3046511628,0.7976744186,0.5046511628,0.9604651163,7189384,11,19100,0.8651162791
"Dalton, GA",msa,0.9744186047,0.8395348837,0.7930232558,0.2720930233,0.9651162791,0.8627906977,0.6186046512,143406,2,19140,0.9790697674
"Danville, IL",msa,0.5627906977,0.2697674419,0.9186046512,0.7279069767,0.8348837209,0.5441860465,0.2372093023,78407,1,19180,0.6860465116
"Daphne-Fairhope-Foley, AL",msa,0.3093023256,0.1720930233,0.03255813953,0.9372093023,0.7651162791,0.411627907,0.3488372093,208107,1,19300,0.3279069767
"Davenport-Moline-Rock Island, IA-IL",msa,0.1790697674,0.4302325581,0.4,0.4674418605,0.4953488372,0.676744186,0.5511627907,382720,4,19340,0.3930232558
"Dayton-Kettering, OH",msa,0.4674418605,0.3558139535,0.5372093023,0.6511627907,0.3093023256,0.823255814,0.923255814,802645,3,19430,0.6720930233
"Decatur, AL",msa,0.6488372093,0.4906976744,0.6372093023,0.8976744186,0.9023255814,0.7674418605,0.3441860465,152293,2,19460,0.8744186047
"Decatur, IL",msa,0.5186046512,0.1465116279,0.7209302326,0.6465116279,0.6162790698,0.6697674419,0.4976744186,106512,1,19500,0.5558139535
"Deltona-Daytona Beach-Ormond Beach, FL",msa,0.5651162791,0.6023255814,0.07674418605,0.9581395349,0.576744186,0.6651162791,0.8023255814,634773,2,19660,0.7441860465
"Denver-Aurora-Lakewood, CO",msa,0.2255813953,0.7488372093,0.07906976744,0.05348837209,0.3302325581,0.4279069767,0.911627907,2850221,10,19740,0.2744186047
"Des Moines-West Des Moines, IA",msa,0.06279069767,0.4395348837,0.3139534884,0.2976744186,0.4186046512,0.7581395349,0.6744186047,671092,6,19780,0.3209302326
"Detroit-Warren-Dearborn, MI",msa,0.4651162791,0.6720930233,0.388372093,0.7023255814,0.588372093,0.376744186,0.976744186,4317179,6,19820,0.7093023256
"Dothan, AL",msa,0.8674418605,0.3,0.6720930233,0.9627906977,0.7139534884,0.7697674419,0.2651162791,147967,3,20020,0.8279069767
"Dover, DE",msa,0.4744186047,0.7093023256,0.8558139535,0.7790697674,0.06511627907,0.1255813953,0.7023255814,174822,1,20100,0.5209302326
"Dubuque, IA",msa,0.03720930233,0.07906976744,0.2279069767,0.4,0.5279069767,0.9558139535,0.423255814,96802,1,20220,0.2372093023
"Duluth, MN-WI",msa,0.07674418605,0.03488372093,0.6465116279,0.2093023256,0.2651162791,0.1720930233,0.05813953488,289591,4,20260,0.03023255814
"Durham-Chapel Hill, NC",msa,0.6930232558,0.8418604651,0.4720930233,0.5093023256,0.9418604651,0.4744186047,0.7279069767,617365,5,20500,0.8674418605
"East Stroudsburg, PA",msa,0.4697674419,0.6976744186,0.01395348837,0.5162790698,0.5558139535,0.2023255814,0.6790697674,167586,1,20700,0.3697674419
"Eau Claire, WI",msa,0.06511627907,0.1418604651,0.1348837209,0.1395348837,0.1372093023,0.9093023256,0.2860465116,166626,2,20740,0.06046511628
"El Centro, CA",msa,0.9511627907,0.9953488372,0.9976744186,0.1581395349,0.9627906977,0.0511627907,0.09069767442,180216,1,20940,0.7325581395
"El Paso, TX",msa,0.9860465116,0.9906976744,0.923255814,0.4651162791,0.7093023256,0.07674418605,0.9395348837,841752,2,21340,0.9441860465
"Elizabethtown-Fort Knox, KY",msa,0.2325581395,0.1558139535,0.7395348837,0.9255813953,0.4348837209,0.7744186047,0.3534883721,150577,3,21060,0.4953488372
"Elkhart-Goshen, IN",msa,0.688372093,0.7511627907,0.8930232558,0.4906976744,0.6279069767,0.9953488372,0.8209302326,203604,1,21140,0.9697674419
"Elmira, NY",msa,0.1558139535,0.07674418605,0.6325581395,0.6581395349,0.6093023256,0.9325581395,0.5581395349,85740,1,21300,0.5023255814
"Enid, OK",msa,0.5953488372,0.7302325581,0.6186046512,0.7372093023,0.1837209302,0.976744186,0.1441860465,62190,1,21420,0.6255813953
"Erie, PA",msa,0.2790697674,0.3790697674,0.6976744186,0.2255813953,0.2558139535,0.8325581395,0.7465116279,275972,1,21500,0.4465116279
"Eugene-Springfield, OR",msa,0.6093023256,0.3534883721,0.5906976744,0.211627907,0.311627907,0.2069767442,0.2093023256,368882,1,21660,0.1906976744
"Evansville, IN-KY",msa,0.2837209302,0.111627907,0.523255814,0.7465116279,0.3,0.7651162791,0.6441860465,314967,4,21780,0.4302325581
"Fairbanks, AK",msa,0.388372093,0.3209302326,0.8744186047,0.04418604651,0.1046511628,0.01860465116,0.01860465116,99653,1,21820,0.05348837209
"Fargo, ND-MN",msa,0.02558139535,0.2325581395,0.1395348837,0.08139534884,0.3279069767,0.3023255814,0.2279069767,237003,2,22020,0.01162790698
"Farmington, NM",msa,0.9837209302,0.8674418605,0.9953488372,0.3302325581,0.6139534884,0.06511627907,0.03953488372,127455,1,22140,0.5813953488
"Fayetteville, NC",msa,0.7395348837,0.8,0.9372093023,0.3674418605,0.9976744186,0.1627906977,0.7325581395,515706,3,22180,0.8837209302
"Fayetteville-Springdale-Rogers, AR",msa,0.5069767442,0.7581395349,0.4604651163,0.411627907,0.5325581395,0.2604651163,0.5976744186,503585,3,22220,0.4674418605
"Flagstaff, AZ",msa,0.8511627907,0.8348837209,0.7976744186,0.1046511628,0.8046511628,0.09069767442,0.004651162791,140217,1,22380,0.4558139535
"Flint, MI",msa,0.611627907,0.2209302326,0.8418604651,0.7,0.4069767442,0.1279069767,0.9209302326,409361,1,22420,0.5604651163
"Florence, SC",msa,0.9186046512,0.5534883721,0.9651162791,0.8209302326,0.3046511628,0.6093023256,0.4162790698,205814,2,22500,0.8395348837
"Florence-Muscle Shoals, AL",msa,0.5488372093,0.1581395349,0.3674418605,0.8697674419,0.6418604651,0.7302325581,0.3255813953,147080,2,22520,0.5093023256
FLORIDA (excluding all MSAs),nonMSA,0.888372093,0.623255814,0.8604651163,0.9023255814,0.9604651163,0.6209302326,0.1162790698,685117,23,NA,0.9302325581
"Fond du Lac, WI",msa,0.01395348837,0.176744186,0.08139534884,0.2162790698,0.1279069767,0.9860465116,0.3953488372,102315,1,22540,0.0976744186
"Fort Collins, CO",msa,0.1372093023,0.3651162791,0.009302325581,0.009302325581,0.3186046512,0.5976744186,0.3465116279,338161,1,22660,0.05581395349
"Fort Smith, AR-OK",msa,0.7162790698,0.5651162791,0.8511627907,0.7744186047,0.4720930233,0.6023255814,0.3139534884,249072,4,22900,0.7674418605
"Fort Wayne, IN",msa,0.4488372093,0.576744186,0.4162790698,0.4069767442,0.4046511628,0.7860465116,0.8302325581,403665,2,23060,0.5674418605
"Fresno, CA",msa,0.9930232558,0.9790697674,0.8953488372,0.06976744186,0.9046511628,0.5255813953,0.4534883721,978130,1,23420,0.9
"Gadsden, AL",msa,0.7651162791,0.4325581395,0.3558139535,0.9325581395,0.7395348837,0.9976744186,0.5279069767,102939,1,23460,0.8860465116
"Gainesville, FL",msa,0.676744186,0.6302325581,0.2093023256,0.4418604651,0.8325581395,0.5511627907,0.4418604651,320724,3,23540,0.5534883721
"Gainesville, GA",msa,0.8186046512,0.8860465116,0.7488372093,0.3,0.8744186047,0.9255813953,0.8604651163,195961,1,23580,0.9837209302
GEORGIA (excluding all MSAs),nonMSA,0.8651162791,0.5255813953,0.7906976744,0.6930232558,0.9348837209,0.5930232558,0.1511627907,1781299,85,NA,0.8302325581
"Gettysburg, PA",msa,0.123255814,0.2441860465,0.01162790698,0.4930232558,0.4976744186,0.7372093023,0.5372093023,102023,1,23900,0.2302325581
"Glens Falls, NY",msa,0.1604651163,0.06279069767,0.1697674419,0.7348837209,0.5627906977,0.9279069767,0.1906976744,126308,2,24020,0.2860465116
"Goldsboro, NC",msa,0.9720930233,0.8837209302,0.9627906977,0.6139534884,0.9860465116,0.8744186047,0.576744186,124002,1,24140,0.9976744186
"Grand Forks, ND-MN",msa,0.1139534884,0.1837209302,0.4697674419,0.06046511628,0.1720930233,0.6,0.07441860465,101991,2,24220,0.04186046512
"Grand Island, NE",msa,0.4930232558,0.6627906977,0.5534883721,0.3813953488,0.05813953488,0.9139534884,0.188372093,75551,3,24260,0.4069767442
"Grand Junction, CO",msa,0.7558139535,0.3651162791,0.4302325581,0.08372093023,0.1418604651,0.8395348837,0.1023255814,149998,1,24300,0.2627906977
"Grand Rapids-Kentwood, MI",msa,0.1395348837,0.5511627907,0.4511627907,0.288372093,0.6069767442,0.423255814,0.823255814,1054559,4,24340,0.4093023256
"Grants Pass, OR",msa,0.6139534884,0.09302325581,0.476744186,0.9046511628,0.1558139535,0.3674418605,0.123255814,85481,1,24420,0.2674418605
"Great Falls, MT",msa,0.176744186,0.06046511628,0.7255813953,0.2023255814,0.01627906977,0.5790697674,0.0511627907,81746,1,24500,0.05813953488
"Greeley, CO",msa,0.2906976744,0.8046511628,0.2395348837,0.004651162791,0.6511627907,0.4697674419,0.1860465116,295123,1,24540,0.2348837209
"Green Bay, WI",msa,0.04186046512,0.4372093023,0.2674418605,0.2441860465,0.1139534884,0.9534883721,0.5813953488,317702,3,24580,0.2279069767
"Greensboro-High Point, NC",msa,0.7372093023,0.7976744186,0.6279069767,0.6372093023,0.976744186,0.8488372093,0.811627907,757810,3,24660,0.9860465116
"Greenville, NC",msa,0.9093023256,0.7534883721,0.7860465116,0.1930232558,0.9720930233,0.6255813953,0.6651162791,177372,1,24780,0.9139534884
"Greenville-Anderson, SC",msa,0.6534883721,0.5790697674,0.611627907,0.5697674419,0.2418604651,0.476744186,0.7581395349,883853,4,24860,0.5790697674
"Gulfport-Biloxi, MS",msa,0.9139534884,0.4837209302,0.6511627907,0.8465116279,0.4674418605,0.3,0.5465116279,409668,4,25060,0.7348837209
"Hagerstown-Martinsburg, MD-WV",msa,0.488372093,0.2348837209,0.5255813953,0.788372093,0.03255813953,0.276744186,0.6976744186,280930,3,25180,0.3441860465
"Hammond, LA",msa,0.9604651163,0.5674418605,0.9860465116,0.8279069767,0.4813953488,0.08139534884,0.4604651163,130504,1,25220,0.7813953488
"Hanford-Corcoran, CA",msa,0.8813953488,0.9697674419,0.9302325581,0.01627906977,0.9837209302,0.5581395349,0.3,150075,1,25260,0.8581395349
"Harrisburg-Carlisle, PA",msa,0.1465116279,0.4651162791,0.1953488372,0.3441860465,0.2069767442,0.4976744186,0.788372093,567872,3,25420,0.2302325581
"Harrisonburg, VA",msa,0.6046511628,0.5906976744,0.3069767442,0.3418604651,0.8720930233,0.7255813953,0.5139534884,132835,2,25500,0.6046511628
"Hartford-East Hartford-Middletown, CT",msa,0.2418604651,0.7372093023,0.1906976744,0.3627906977,0.03720930233,0.1790697674,0.9465116279,1209367,3,25540,0.2581395349
"Hattiesburg, MS",msa,0.9279069767,0.2604651163,0.8488372093,0.7186046512,0.5604651163,0.3209302326,0.2674418605,167859,4,25620,0.588372093
HAWAII (excluding all MSAs),nonMSA,0.1953488372,0.911627907,0.3,0.3325581395,0.08604651163,0.002325581395,0.1488372093,269110,3,NA,0.09302325581
"Hickory-Lenoir-Morganton, NC",msa,0.8279069767,0.5302325581,0.5720930233,0.7860465116,0.8906976744,0.888372093,0.6069767442,365339,4,25860,0.9488372093
"Hilton Head Island-Bluffton, SC",msa,0.576744186,0.7744186047,0.1837209302,0.8534883721,0.2395348837,0.01162790698,0.5325581395,210558,2,25940,0.3813953488
"Hinesville, GA",msa,0.7441860465,0.8209302326,0.9209302326,0.1953488372,0.9930232558,0.1395348837,0.2488372093,80264,2,25980,0.6627906977
"Homosassa Springs, FL",msa,0.7953488372,0.2139534884,0.2209302326,0.9860465116,0.3395348837,0.9511627907,0.6302325581,143087,1,26140,0.7
"Hot Springs, AR",msa,0.8395348837,0.3813953488,0.9348837209,0.988372093,0.08837209302,0.2651162791,0.4023255814,98296,1,26300,0.5837209302
"Houma-Thibodaux, LA",msa,0.9651162791,0.6279069767,0.9139534884,0.8418604651,0.4093023256,0.1488372093,0.2441860465,210801,2,26380,0.7023255814
"Houston-The Woodlands-Sugar Land, TX",msa,0.9255813953,0.9441860465,0.5348837209,0.3209302326,0.8162790698,0.3302325581,0.9581395349,6779104,9,26420,0.9023255814
"Huntington-Ashland, WV-KY-OH",msa,0.4976744186,0.004651162791,0.6395348837,0.9697674419,0.176744186,0.2930232558,0.4139534884,364446,7,26580,0.3348837209
"Huntsville, AL",msa,0.5860465116,0.5720930233,0.1372093023,0.7325581395,0.8976744186,0.5837209302,0.7558139535,450612,2,26620,0.7534883721
IDAHO (excluding all MSAs),nonMSA,0.3837209302,0.2674418605,0.2906976744,0.3186046512,0.3627906977,0.2046511628,0.03255813953,443975,29,NA,0.07441860465
"Idaho Falls, ID",msa,0.09534883721,0.4255813953,0.3046511628,0.04186046512,0.2279069767,0.1906976744,0.1093023256,142968,3,26820,0.02093023256
ILLINOIS (excluding all MSAs),nonMSA,0.2395348837,0.08604651163,0.3906976744,0.6441860465,0.7837209302,0.3162790698,0.111627907,1455559,62,NA,0.211627907
INDIANA (excluding all MSAs),nonMSA,0.3372093023,0.08837209302,0.4813953488,0.7418604651,0.5744186047,0.7790697674,0.2186046512,1466560,47,NA,0.3953488372
"Indianapolis-Carmel-Anderson, IN",msa,0.5093023256,0.4720930233,0.4441860465,0.6093023256,0.5465116279,0.5093023256,0.8976744186,2007497,11,26900,0.6279069767
IOWA (excluding all MSAs),nonMSA,0.06744186047,0.1186046512,0.2,0.6604651163,0.2837209302,0.7953488372,0.06511627907,1236404,77,NA,0.1395348837
"Iowa City, IA",msa,0.1441860465,0.6093023256,0.1186046512,0.1790697674,0.3441860465,0.3139534884,0.4372093023,169144,2,26980,0.1325581395
"Ithaca, NY",msa,0.1837209302,0.3627906977,0.2441860465,0.09302325581,0.8674418605,0.05813953488,0.5651162791,102962,1,27060,0.1674418605
"Jackson, MI",msa,0.3418604651,0.1255813953,0.7627906977,0.7395348837,0.2581395349,0.5325581395,0.5860465116,158913,1,27100,0.4255813953
"Jackson, MS",msa,0.6837209302,0.5837209302,0.7558139535,0.8395348837,0.5674418605,0.4651162791,0.3511627907,598355,7,27140,0.7441860465
"Jackson, TN",msa,0.6,0.4093023256,0.6651162791,0.9302325581,0.6465116279,0.9790697674,0.2976744186,178506,4,27180,0.8186046512
"Jacksonville, FL",msa,0.6651162791,0.6906976744,0.4837209302,0.6279069767,0.8837209302,0.7046511628,0.8790697674,1475386,5,27260,0.9209302326
"Jacksonville, NC",msa,0.4046511628,0.4139534884,0.9418604651,0.1418604651,1,0.03720930233,0.6372093023,193912,1,27340,0.4813953488
"Janesville-Beloit, WI",msa,0.2186046512,0.3604651163,0.4093023256,0.2837209302,0.1930232558,0.9162790698,0.5837209302,161769,1,27500,0.3209302326
"Jefferson City, MO",msa,0.1488372093,0.08139534884,0.3604651163,0.5604651163,0.6697674419,0.8860465116,0.2,151157,4,27620,0.3093023256
"Johnson City, TN",msa,0.6186046512,0.05348837209,0.5488372093,0.9348837209,0.3813953488,0.8813953488,0.6465116279,201226,3,27740,0.6651162791
"Johnstown, PA",msa,0.1813953488,0.01860465116,0.6813953488,0.7651162791,0.211627907,0.7162790698,0.5348837209,134550,1,27780,0.3604651163
"Jonesboro, AR",msa,0.6441860465,0.288372093,0.9790697674,0.6046511628,0.5395348837,0.4,0.2744186047,129755,2,27860,0.5279069767
"Joplin, MO",msa,0.6209302326,0.3720930233,0.6558139535,0.5906976744,0.7209302326,0.9186046512,0.3906976744,177440,2,27900,0.7558139535
"Kahului-Wailuku-Lahaina, HI",msa,0.07209302326,0.9186046512,0.1930232558,0.2186046512,0.1348837209,0,0.3976744186,165281,1,27980,0.07906976744
"Kalamazoo-Portage, MI",msa,0.3209302326,0.3186046512,0.3348837209,0.2604651163,0.511627907,0.4581395349,0.8395348837,261573,1,28020,0.3441860465
"Kankakee, IL",msa,0.3976744186,0.5813953488,0.7813953488,0.4162790698,0.7744186047,0.6302325581,0.4558139535,111061,1,28100,0.6465116279
KANSAS (excluding all MSAs),nonMSA,0.2441860465,0.2186046512,0.5186046512,0.6953488372,0.2976744186,0.3534883721,0.04651162791,905779,86,NA,0.1674418605
"Kansas City, MO-KS",msa,0.2465116279,0.5139534884,0.2837209302,0.4558139535,0.5906976744,0.4953488372,0.8162790698,2106632,14,28140,0.4418604651
"Kennewick-Richland, WA",msa,0.5465116279,0.8441860465,0.6023255814,0.03488372093,0.7558139535,0.2488372093,0.2697674419,284828,2,28420,0.4139534884
KENTUCKY (excluding all MSAs),nonMSA,0.6418604651,0.02790697674,0.7534883721,0.9744186047,0.3465116279,0.5395348837,0.1697674419,1813542,85,NA,0.4511627907
"Killeen-Temple, TX",msa,0.5837209302,0.823255814,0.9162790698,0.3069767442,0.8372093023,0.2348837209,0.4837209302,438265,3,28660,0.7209302326
"Kingsport-Bristol, TN-VA",msa,0.7093023256,0.02093023256,0.5697674419,0.9488372093,0.4023255814,0.8511627907,0.4674418605,306394,5,28700,0.6162790698
"Kingston, NY",msa,0.4604651163,0.5023255814,0.4186046512,0.5372093023,0.7930232558,0.2860465116,0.4302325581,179303,1,28740,0.4488372093
"Knoxville, TN",msa,0.5372093023,0.211627907,0.211627907,0.8558139535,0.3790697674,0.7906976744,0.7093023256,845486,8,28940,0.5162790698
"Kokomo, IN",msa,0.5,0.1395348837,0.3697674419,0.8744186047,0.2372093023,0.9604651163,0.6860465116,82387,1,29020,0.5441860465
"La Crosse-Onalaska, WI-MN",msa,0.02790697674,0.2046511628,0.05348837209,0.1325581395,0.0976744186,0.7139534884,0.4325581395,136513,2,29100,0.03953488372
"Lafayette, LA",msa,0.8720930233,0.676744186,0.823255814,0.7837209302,0.4441860465,0.1953488372,0.4627906977,488969,5,29180,0.7511627907
"Lafayette-West Lafayette, IN",msa,0.3720930233,0.423255814,0.3023255814,0.2860465116,0.6837209302,0.523255814,0.5209302326,226202,4,29200,0.3627906977
"Lake Charles, LA",msa,0.7627906977,0.3976744186,0.9069767442,0.8953488372,0.1906976744,0.3837209302,0.4255813953,207050,2,29340,0.6069767442
"Lake Havasu City-Kingman, AZ",msa,0.8790697674,0.5930232558,0.7604651163,0.8790697674,0.3069767442,0.5534883721,0.02558139535,206064,1,29420,0.6325581395
"Lakeland-Winter Haven, FL",msa,0.8255813953,0.8581395349,0.8139534884,0.9279069767,0.9302325581,0.7511627907,0.7674418605,668671,1,29460,1
"Lancaster, PA",msa,0.5255813953,0.5860465116,0.3581395349,0.2372093023,0.4255813953,0.6279069767,0.9023255814,538347,1,29540,0.511627907
"Lansing-East Lansing, MI",msa,0.2372093023,0.3279069767,0.2488372093,0.4279069767,0.5348837209,0.2139534884,0.6720930233,545108,4,29620,0.2441860465
"Laredo, TX",msa,0.9558139535,1,0.9395348837,0.3488372093,0.8627906977,0.02558139535,0.2046511628,272053,1,29700,0.776744186
"Las Cruces, NM",msa,0.9790697674,0.9744186047,0.9906976744,0.1348837209,0.5162790698,0.01395348837,0.1348837209,215338,1,29740,0.5325581395
"Las Vegas-Henderson-Paradise, NV",msa,0.9046511628,0.9372093023,0.6093023256,0.2651162791,0.6581395349,0.06744186047,0.6627906977,2141574,1,29820,0.688372093
"Lawrence, KS",msa,0.2953488372,0.3441860465,0.03488372093,0.03720930233,0.723255814,0.03488372093,0.6581395349,119319,1,29940,0.1255813953
"Lawton, OK",msa,0.7720930233,0.6534883721,0.9744186047,0.3255813953,0.2953488372,0.6627906977,0.2813953488,128490,2,30020,0.6093023256
"Lebanon, PA",msa,0.4255813953,0.5465116279,0.376744186,0.6395348837,0.276744186,0.9209302326,0.7860465116,138674,1,30140,0.6186046512
"Lewiston, ID-WA",msa,0.3511627907,0.07441860465,0.5790697674,0.3093023256,0.1441860465,0.6395348837,0.08837209302,62492,2,30300,0.1372093023
"Lewiston-Auburn, ME",msa,0.2046511628,0.1651162791,0.9,0.611627907,0.01860465116,0.5023255814,0.5906976744,107444,1,30340,0.3325581395
"Lexington-Fayette, KY",msa,0.5395348837,0.5953488372,0.3953488372,0.811627907,0.2,0.4186046512,0.8,506786,6,30460,0.5395348837
"Lima, OH",msa,0.2976744186,0.1511627907,0.811627907,0.823255814,0.3139534884,1,0.6418604651,103642,1,30620,0.6488372093
"Lincoln, NE",msa,0.09302325581,0.4953488372,0.2534883721,0.08837209302,0.05581395349,0.8697674419,0.6837209302,327221,2,30700,0.2046511628
"Little Rock-North Little Rock-Conway, AR",msa,0.3860465116,0.5162790698,0.711627907,0.7441860465,0.4209302326,0.2279069767,0.588372093,734502,6,30780,0.488372093
"Logan, UT-ID",msa,0.009302325581,0.4046511628,0.08837209302,0.006976744186,0.7348837209,0.4813953488,0.2395348837,135615,2,30860,0.08837209302
"Longview, TX",msa,0.8534883721,0.7837209302,0.8581395349,0.7255813953,0.7,0.8953488372,0.323255814,284503,4,30980,0.9558139535
"Longview, WA",msa,0.5558139535,0.3465116279,0.788372093,0.4325581395,0.2465116279,0.8534883721,0.2511627907,105112,1,31020,0.4534883721
"Los Angeles-Long Beach-Anaheim, CA",msa,0.9372093023,0.976744186,0.4581395349,0.1093023256,0.9139534884,0.5418604651,1,13262234,2,31080,0.923255814
LOUISIANA (excluding all MSAs),nonMSA,0.8930232558,0.388372093,0.9697674419,0.923255814,0.5720930233,0.3906976744,0.1,750157,28,NA,0.7395348837
"Louisville/Jefferson County, KY-IN",msa,0.3302325581,0.4162790698,0.4534883721,0.9534883721,0.3488372093,0.6348837209,0.8651162791,1252890,10,31140,0.6348837209
"Lubbock, TX",msa,0.788372093,0.8093023256,0.8395348837,0.2,0.4162790698,0.6465116279,0.6348837209,313123,3,31180,0.7744186047
